game_date,inning,at_bat_number,pitch_number,pitch_type,pitch_name,stand,balls,strikes,release_speed,effective_speed,release_spin_rate,spin_axis,release_extension,release_pos_x,release_pos_z,pfx_x,pfx_z,arm_angle,plate_x,plate_z,sz_top,sz_bot,zone,events,description,type,launch_speed,launch_angle,launch_speed_angle,hit_distance_sc,estimated_ba_using_speedangle,estimated_slg_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,hc_x,hc_y,start_group
2026-03-25,2,17,2,FC,Cutter,L,0,1,89.7,90.3,2193.0,222.0,6.5,-1.83,5.07,-0.1,0.67,25.1,-1.636239918740265,5.613420354915162,3.344627625,1.687942913,11,,ball,B,,,,,,,,,,,,,,Bad
2026-03-25,2,17,3,SI,Sinker,L,1,1,90.5,90.8,1878.0,242.0,6.7,-1.7,4.9,-1.41,-0.16,20.4,0.0037856496327983,3.4778610671411734,3.344627625,1.687942913,12,,called_strike,S,,,,,,,,,,,,,,Bad
2026-03-25,2,17,4,FF,4-Seam Fastball,L,1,2,91.7,92.6,1982.0,241.0,6.8,-1.75,4.96,-1.04,0.8,21.5,-1.2215252677307933,3.6524070782802136,3.344627625,1.687942913,11,strikeout,swinging_strike,S,,,,,,,0.0,0.0,1.0,0.0,0.0,,,Bad
2026-03-25,3,22,1,SI,Sinker,L,0,0,90.8,91.2,1945.0,243.0,6.7,-1.74,5.15,-1.39,0.45,24.9,-0.5717672399525708,3.654713314776596,3.280561024,1.655610236,11,,ball,B,,,,,,,,,,,,,,Bad
2026-03-25,3,22,2,ST,Sweeper,L,1,0,83.5,83.7,2450.0,35.0,6.5,-2.16,4.94,1.24,-0.12,19.4,0.0836268498998547,1.4340536065176752,3.280561024,1.655610236,14,,ball,B,,,,,,,,,,,,,,Bad
2026-03-25,3,22,3,ST,Sweeper,L,2,0,82.6,82.9,2473.0,52.0,6.5,-2.15,4.91,1.42,0.06,22.1,-0.7438413759920812,2.557707120766823,3.280561024,1.655610236,4,,called_strike,S,,,,,,,,,,,,,,Bad
2026-03-25,3,22,4,SI,Sinker,L,2,1,90.4,90.7,1983.0,237.0,6.6,-1.94,4.93,-1.46,0.08,21.8,-0.3462260946619231,3.0624891746667413,3.280561024,1.655610236,1,,foul,S,82.0,56.0,,204.0,,,,,,,,,,Bad
2026-03-25,3,22,5,ST,Sweeper,L,2,2,83.9,84.6,2471.0,53.0,6.7,-1.98,4.85,1.15,0.18,19.8,0.5329024426500161,1.946143110824772,3.280561024,1.655610236,9,strikeout,called_strike,S,,,,,,,0.0,0.0,1.0,0.0,0.0,,,Bad
2026-03-25,3,23,1,SI,Sinker,R,0,0,91.7,92.4,1980.0,239.0,6.7,-1.81,5.03,-1.17,0.24,25.3,-0.0834754589980755,3.583843849325622,3.431512467,1.731791339,11,,called_strike,S,,,,,,,,,,,,,,Bad
2026-03-25,3,23,2,SI,Sinker,R,0,1,91.3,92.1,1831.0,244.0,6.8,-1.72,4.95,-1.36,0.12,22.8,-0.728358354146363,2.547025059969532,3.431512467,1.731791339,4,field_out,hit_into_play,X,81.9,5.0,2.0,90.0,0.297,0.324,0.267,0.0,1.0,0.0,0.0,124.43,132.99,Bad
2026-03-25,3,24,1,ST,Sweeper,L,0,0,83.2,84.0,2525.0,51.0,6.8,-2.05,4.86,1.42,0.04,20.4,0.2338645229370652,1.8609020034991095,3.15593832,1.592716535,8,,called_strike,S,,,,,,,,,,,,,,Bad
2026-03-25,3,24,2,ST,Sweeper,L,0,1,84.1,84.4,2544.0,46.0,6.5,-2.11,4.8,1.04,0.27,18.1,0.1182542301889225,1.5376489965805749,3.15593832,1.592716535,8,,called_strike,S,,,,,,,,,,,,,,Bad
2026-03-25,3,24,3,CH,Changeup,L,0,2,86.9,88.5,1558.0,272.0,6.9,-2.07,4.78,-1.01,-0.3,16.3,-0.0185166251807018,0.993498002318078,3.15593832,1.592716535,13,field_out,hit_into_play,X,90.9,2.0,2.0,47.0,0.382,0.441,0.362,0.0,1.0,0.0,0.0,158.37,163.61,Bad
2026-03-25,4,28,1,SI,Sinker,R,0,0,90.7,91.1,2020.0,241.0,6.6,-1.86,5.04,-1.52,0.3,26.0,-0.7753467944149965,3.0958667462680274,3.083095472,1.555954724,1,,called_strike,S,,,,,,,,,,,,,,Bad
2026-03-25,4,28,2,SI,Sinker,R,0,1,90.7,91.8,1986.0,243.0,6.8,-1.64,5.03,-1.47,0.36,21.9,-0.9998218478257606,1.7584578641096753,3.083095472,1.555954724,13,,called_strike,S,,,,,,,,,,,,,,Bad
2026-03-25,4,28,3,CH,Changeup,R,0,2,85.3,86.1,1545.0,262.0,6.8,-1.89,4.86,-0.67,-0.35,20.8,-0.8994729278222078,1.834005816704988,3.083095472,1.555954724,13,field_out,hit_into_play,X,70.8,12.0,2.0,115.0,0.311,0.35,0.289,0.0,1.0,0.0,0.0,98.95,163.22,Bad
2026-03-25,4,29,1,SI,Sinker,L,0,0,91.1,92.2,2007.0,241.0,6.6,-1.81,5.05,-1.39,0.44,26.0,-0.8024597662661601,3.6657604940932993,3.31742126,1.674212598,11,,ball,B,,,,,,,,,,,,,,Bad
2026-03-25,4,29,2,ST,Sweeper,L,1,0,82.5,82.3,2425.0,37.0,6.5,-1.95,4.92,1.13,0.27,18.3,-1.392580372976123,2.9499051446141853,3.31742126,1.674212598,11,,ball,B,,,,,,,,,,,,,,Bad
2026-03-25,4,29,3,SI,Sinker,L,2,0,90.4,91.1,1904.0,243.0,6.7,-1.78,4.97,-1.5,0.46,19.4,-0.7597925983592524,3.3035753709364046,3.31742126,1.674212598,1,,called_strike,S,,,,,,,,,,,,,,Bad
2026-03-25,4,29,4,ST,Sweeper,L,2,1,83.7,84.2,2432.0,53.0,6.7,-2.08,4.84,0.48,0.73,19.0,-0.5112412878270496,2.498349225669235,3.31742126,1.674212598,4,,foul,S,69.3,18.0,,162.0,,,,,,,,,,Bad
2026-03-25,4,29,5,SI,Sinker,L,2,2,90.7,91.6,1945.0,244.0,6.8,-1.84,4.97,-1.54,0.37,23.2,-0.1151161164263461,3.827736164193008,3.31742126,1.674212598,11,,ball,B,,,,,,,,,,,,,,Bad
2026-03-25,4,29,6,SI,Sinker,L,3,2,91.1,92.0,1956.0,235.0,6.9,-1.61,4.94,-1.46,0.38,22.0,0.9669979526858444,2.8065119151563462,3.31742126,1.674212598,12,walk,ball,B,,,,,,,0.699595,0.7,1.0,0.0,0.0,,,Bad
2026-03-25,4,30,1,CH,Changeup,L,0,0,83.9,85.2,1540.0,271.0,6.9,-1.92,4.65,-0.83,-0.22,16.0,-0.1497536446876051,1.3079871754202386,3.254232283,1.642322835,13,,ball,B,,,,,,,,,,,,,,Bad
2026-03-25,4,30,2,SI,Sinker,L,1,0,90.8,91.7,2012.0,240.0,6.8,-1.67,4.99,-1.6,0.36,21.8,-0.541515741355409,3.2082082808062475,3.254232283,1.642322835,1,,foul,S,77.5,27.0,,237.0,,,,,,,,,,Bad
2026-03-25,4,30,3,SI,Sinker,L,1,1,90.1,91.0,2014.0,246.0,6.7,-1.79,4.93,-1.39,0.11,24.9,0.129060743333861,2.974837743160961,3.254232283,1.642322835,2,single,hit_into_play,X,100.8,-1.0,4.0,44.0,0.406,0.44,0.373,0.9,1.0,1.0,0.0,188.8,111.65,Bad
2026-03-25,4,31,1,FF,4-Seam Fastball,L,0,0,91.1,91.9,2074.0,240.0,6.7,-1.75,5.04,-1.08,1.12,26.1,0.3406245023675998,3.076594979155993,3.138385827,1.583858268,3,,foul,S,,,,,,,,,,,,,,Bad
